Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.00      0.15     0.00       40     0.00     0.00  Range const& std::forward<Range const&>(std::remove_reference<Range const&>::type&)
  0.00      0.15     0.00       31     0.00     0.00  std::move_iterator<Range*>::operator*() const
  0.00      0.15     0.00       31     0.00     0.00  std::move_iterator<Range*>::operator++()
  0.00      0.15     0.00       31     0.00     0.00  void std::_Construct<Range, Range>(Range*, Range&&)
  0.00      0.15     0.00       31     0.00     0.00  Range&& std::forward<Range>(std::remove_reference<Range>::type&)
  0.00      0.15     0.00       24     0.00     0.00  __gnu_cxx::__normal_iterator<Range*, std::vector<Range, std::allocator<Range> > >::base() const
  0.00      0.15     0.00       24     0.00     0.00  std::move_iterator<Range*>::move_iterator(Range*)
  0.00      0.15     0.00       24     0.00     0.00  std::move_iterator<Range*> std::__make_move_if_noexcept_iterator<Range, std::move_iterator<Range*> >(Range*)
  0.00      0.15     0.00       19     0.00     0.00  std::_Vector_base<Range, std::allocator<Range> >::_M_get_Tp_allocator()
  0.00      0.15     0.00       18     0.00     0.00  __gnu_cxx::new_allocator<Range>::max_size() const
  0.00      0.15     0.00       17     0.00     0.00  Range::Range(unsigned int, unsigned int)
  0.00      0.15     0.00       17     0.00     0.00  void __gnu_cxx::new_allocator<Range>::construct<Range, Range const&>(Range*, Range const&)
  0.00      0.15     0.00       17     0.00     0.00  void std::allocator_traits<std::allocator<Range> >::construct<Range, Range const&>(std::allocator<Range>&, Range*, Range const&)
  0.00      0.15     0.00       17     0.00     8.69  std::vector<Range, std::allocator<Range> >::push_back(Range const&)
  0.00      0.15     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<Range*, std::vector<Range, std::allocator<Range> > >::__normal_iterator(Range* const&)
  0.00      0.15     0.00       12     0.00     0.00  std::_Vector_base<Range, std::allocator<Range> >::_M_get_Tp_allocator() const
  0.00      0.15     0.00       12     0.00     0.00  std::vector<Range, std::allocator<Range> >::max_size() const
  0.00      0.15     0.00       12     0.00     0.00  std::allocator_traits<std::allocator<Range> >::max_size(std::allocator<Range> const&)
  0.00      0.15     0.00       12     0.00     0.00  Range* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<Range*>, Range*>(std::move_iterator<Range*>, std::move_iterator<Range*>, Range*)
  0.00      0.15     0.00       12     0.00     0.00  Range* std::uninitialized_copy<std::move_iterator<Range*>, Range*>(std::move_iterator<Range*>, std::move_iterator<Range*>, Range*)
  0.00      0.15     0.00       12     0.00     0.00  Range* std::__uninitialized_copy_a<std::move_iterator<Range*>, Range*, Range>(std::move_iterator<Range*>, std::move_iterator<Range*>, Range*, std::allocator<Range>&)
  0.00      0.15     0.00       12     0.00     0.00  Range* std::__uninitialized_move_if_noexcept_a<Range*, Range*, std::allocator<Range> >(Range*, Range*, Range*, std::allocator<Range>&)
  0.00      0.15     0.00        7     0.00    13.71  void std::_Destroy_aux<false>::__destroy<Range*>(Range*, Range*)
  0.00      0.15     0.00        7     0.00     0.00  std::_Vector_base<Range, std::allocator<Range> >::_M_deallocate(Range*, unsigned long)
  0.00      0.15     0.00        7     0.00    13.71  void std::_Destroy<Range*>(Range*, Range*)
  0.00      0.15     0.00        7     0.00    13.71  void std::_Destroy<Range*, Range>(Range*, Range*, std::allocator<Range>&)
  0.00      0.15     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<Range>::deallocate(Range*, unsigned long)
  0.00      0.15     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<Range>::allocate(unsigned long, void const*)
